loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
8.8732,2.297624111175537,9.838601210490922e-06,1.1904761904761905,50,,,,,,,,,,,
,,,1.1904761904761905,50,3.168414831161499,1.0,1.0,3.635,38.514,2.476,,,,,
3.0216,3.3798763751983643,9.502353732347008e-06,2.380952380952381,100,,,,,,,,,,,
,,,2.380952380952381,100,2.7731049060821533,1.0,1.0,3.6864,37.977,2.441,,,,,
1.9809,3.2243995666503906,9.166106254203095e-06,3.571428571428571,150,,,,,,,,,,,
,,,3.571428571428571,150,2.198575019836426,1.0,0.915127126394732,3.6865,37.976,2.441,,,,,
1.314,2.751844644546509,8.82985877605918e-06,4.761904761904762,200,,,,,,,,,,,
,,,4.761904761904762,200,1.8099933862686157,1.0,0.7256264861898665,3.6384,38.478,2.474,,,,,
0.9895,8.286765098571777,8.493611297915267e-06,5.9523809523809526,250,,,,,,,,,,,
,,,5.9523809523809526,250,1.585792899131775,1.0,0.5765502103530272,3.6326,38.54,2.478,,,,,
0.7938,3.2575197219848633,8.157363819771352e-06,7.142857142857143,300,,,,,,,,,,,
,,,7.142857142857143,300,1.5591351985931396,1.0,0.5396012438265959,3.6024,38.863,2.498,,,,,
0.7051,3.2734522819519043,7.821116341627438e-06,8.333333333333334,350,,,,,,,,,,,
,,,8.333333333333334,350,1.4335994720458984,0.9968253968253968,0.4525333821108469,3.4771,40.263,2.588,,,,,
0.5897,2.7505602836608887,7.484868863483524e-06,9.523809523809524,400,,,,,,,,,,,
,,,9.523809523809524,400,1.4222861528396606,0.9904761904761905,0.41375525882568137,3.6492,38.365,2.466,,,,,
0.4997,9.139784812927246,7.148621385339611e-06,10.714285714285714,450,,,,,,,,,,,
,,,10.714285714285714,450,1.338130235671997,0.9888888888888889,0.37534296689226265,3.6506,38.35,2.465,,,,,
0.4195,4.955691814422607,6.8123739071956965e-06,11.904761904761905,500,,,,,,,,,,,
